stationId,stationName,latitude,longitude
ST-396,628. 휘봉고등학교 앞,37.58681488,127.06754303
ST-397,630. 동대문구 보건소,37.57485199,127.04030609
ST-398,631. 답십리역 1번출구,37.56818390,127.05127716
ST-400,633. 청량리 기업은행 앞,37.58040619,127.04482269
ST-401,634. 외국어대 정문 앞,37.59601974,127.05982971
ST-402,635. 시조사 앞,37.58751678,127.05277252
ST-403,636. 세종대왕기념관 교차로,37.59090042,127.04258728
ST-404,637. KAIST 경영대학 앞,37.59161377,127.04579163
ST-405,638. 서울시립대 정보기술관,37.58300781,127.06097412
ST-406,639. 서울시립대 후문,37.58504486,127.06027222
ST-407,640. 동대문경찰서 교차로,37.58255005,127.04460144
ST-408,641. 용두역 4번출구,37.57375336,127.03853607
ST-409,642. 신답역 사거리,37.57035446,127.04843140
ST-410,643. 동대문구민체육센터 (육교아래),37.56697083,127.07429504
ST-1300,648. 장안동위더스빌옆,37.56669998,127.06242371
ST-1302,650. 중랑교사거리,37.59153366,127.06774139
ST-1447,652. 답십리 래미안엘파인아파트 입구,37.57653046,127.06594086
ST-1449,654. 전농동 텃골공원,37.57762146,127.05210876
ST-1628,656. 영휘원 교차로,37.58723831,127.04313660
ST-1631,659. 제기동역 1번출구,37.57835007,127.03338623
ST-1632,660. 동의보감타워,37.57799911,127.03762817
ST-1625,661. 경희대학교 청운관,37.59460068,127.05197144
ST-1671,663. 외대앞역 3번출구,37.59489059,127.06302643
ST-1758,664. 서울시립대 건설공학관,37.58412933,127.05793762
ST-2265,665.이문동 쌍용아파트 정문,37.59960556,127.06864166
ST-2266,666.이문대성유니드아파트 앞,37.60362244,127.07083130
ST-2267,667.청량차도 육교 밑,37.58670807,127.04688263
ST-2269,669.청계한신휴플러스앞 삼거리,37.57214737,127.04460907
ST-2270,670.삼육서울병원 버스정류장,37.58968735,127.06140900
ST-2271,671.대광빌딩,37.57734299,127.02337646
ST-2272,672.대광고등학교,37.57875061,127.02402496
ST-2273,673.안암골벽산아파트(후문),37.58407974,127.03103638
ST-2274,674.고대앞사거리 교통섬,37.58655167,127.03314209
